new_common_name,species_code,taxon_concept_id,scientific_name,order,family,family_common,category,taxonomic_order,report_as,extinct
Snow Goose,snogoo,avibase-D3A260BC,Anser caerulescens,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,267,NA,FALSE
Ross's Goose,rosgoo,avibase-7A24F57F,Anser rossii,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,272,NA,FALSE
Snow/Ross's Goose,y00469,avibase-594A12EF,Anser caerulescens/rossii,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",slash,274,NA,NA
Greater White-fronted Goose,gwfgoo,avibase-466E9077,Anser albifrons,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,287,NA,FALSE
Brant,brant,avibase-3E04020B,Branta bernicla,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,314,NA,FALSE
Brant (Black),blkbra1,avibase-8C09000A,Branta bernicla nigricans,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,317,brant,NA
Cackling Goose,cacgoo1,avibase-60214D49,Branta hutchinsii,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,331,NA,FALSE
Cackling Goose (Aleutian),alcgoo1,avibase-90B3F5BB,Branta hutchinsii leucopareia,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,332,cacgoo1,NA
Cackling Goose (minima),cacgoo2,avibase-C86F2A24,Branta hutchinsii minima,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,334,cacgoo1,NA
Cackling Goose (Taverner's),tacgoo1,avibase-DA8A7869,Branta hutchinsii taverneri,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,335,cacgoo1,NA
Canada Goose,cangoo,avibase-B59E1863,Branta canadensis,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,342,NA,FALSE
Canada Goose (moffitti/maxima),cangoo4,avibase-D44C5CFA,Branta canadensis moffitti/maxima,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,343,cangoo,NA
Canada Goose (canadensis Group),cangoo1,avibase-AB3F42B4,Branta canadensis [canadensis Group],Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,349,cangoo,NA
Mute Swan,mutswa,avibase-694C127A,Cygnus olor,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,377,NA,FALSE
Trumpeter Swan,truswa,avibase-B86C504C,Cygnus buccinator,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,382,NA,FALSE
Tundra Swan (Whistling),tunswa1,avibase-D611DD41,Cygnus columbianus columbianus,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,385,tunswa,NA
swan sp.,swan1,avibase-F9EC83D6,Cygnus sp.,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",spuh,394,NA,NA
Muscovy Duck (Domestic type),musduc3,avibase-1FE65763,Cairina moschata (Domestic type),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",domestic,446,musduc,NA
Wood Duck,wooduc,avibase-27B2749A,Aix sponsa,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,455,NA,FALSE
Blue-winged Teal,buwtea,avibase-90E2543E,Spatula discors,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,485,NA,FALSE
Cinnamon Teal,cintea,avibase-0E599E6C,Spatula cyanoptera,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,487,NA,FALSE
Blue-winged x Cinnamon Teal (hybrid),bwxtea1,avibase-3151A7CA,Spatula discors x cyanoptera,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,494,NA,NA
Blue-winged/Cinnamon Teal,y00314,avibase-15045575,Spatula discors/cyanoptera,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",slash,495,NA,NA
Northern Shoveler,norsho,avibase-ED4CE8E7,Spatula clypeata,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,501,NA,FALSE
Cinnamon Teal x Northern Shoveler (hybrid),x00630,avibase-6712E378,Spatula cyanoptera x clypeata,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,504,NA,NA
Gadwall,gadwal,avibase-C235A4D7,Mareca strepera,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,505,NA,FALSE
Eurasian Wigeon,eurwig,avibase-15EE0D36,Mareca penelope,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,512,NA,FALSE
American Wigeon,amewig,avibase-D201EB72,Mareca americana,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,517,NA,FALSE
Mallard,mallar3,avibase-85625D75,Anas platyrhynchos,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,545,NA,FALSE
Mallard (Domestic type),mallar2,avibase-07FFC1E5,Anas platyrhynchos (Domestic type),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",domestic,548,mallar3,NA
Mallard x Mexican Duck (hybrid),mallar4,avibase-2B189810,Anas platyrhynchos x diazi,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,569,NA,NA
Northern Pintail,norpin,avibase-56CCA717,Anas acuta,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,594,NA,FALSE
Green-winged Teal,gnwtea,avibase-BC6C3CCE,Anas crecca,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,612,NA,FALSE
Green-winged Teal (American),agwtea1,avibase-DE24B98D,Anas crecca carolinensis,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,614,gnwtea,NA
teal sp.,teal,avibase-093E93E1,Anatidae sp. (teal sp.),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",spuh,654,NA,NA
dabbling duck sp.,dabduc1,avibase-BD7161A9,Anatidae sp. (dabbling duck sp.),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",spuh,655,NA,NA
Canvasback,canvas,avibase-1929E1E1,Aythya valisineria,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,666,NA,FALSE
Redhead,redhea,avibase-3072CC16,Aythya americana,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,667,NA,FALSE
Ring-necked Duck,rinduc,avibase-0783A7EA,Aythya collaris,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,673,NA,FALSE
Tufted Duck,tufduc,avibase-67CEA1C1,Aythya fuligula,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,687,NA,FALSE
Lesser Scaup,lessca,avibase-50566E50,Aythya affinis,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,700,NA,FALSE
Greater/Lesser Scaup,scaup,avibase-83610FC3,Aythya marila/affinis,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",slash,708,NA,NA
Surf Scoter,sursco,avibase-624078BA,Melanitta perspicillata,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,728,NA,FALSE
scoter sp.,scoter,avibase-CB56BEF1,Melanitta sp.,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",spuh,740,NA,NA
Bufflehead,buffle,avibase-FB738385,Bucephala albeola,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,742,NA,FALSE
Common Goldeneye,comgol,avibase-68EA281A,Bucephala clangula,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,743,NA,FALSE
Hooded Merganser,hoomer,avibase-60E6081E,Lophodytes cucullatus,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,754,NA,FALSE
Common Merganser,commer,avibase-407E2CA8,Mergus merganser,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,762,NA,FALSE
Red-breasted Merganser,rebmer,avibase-8DB64266,Mergus serrator,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,770,NA,FALSE
merganser sp.,mergan1,avibase-72CE0D84,Mergellus/Lophodytes/Mergus sp.,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",spuh,775,NA,NA
Ruddy Duck,rudduc,avibase-675EEA7F,Oxyura jamaicensis,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,778,NA,FALSE
duck sp.,duck1,avibase-D7BF5045,Anatidae (duck sp.),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",spuh,792,NA,NA
waterfowl sp.,waterf1,avibase-D8E1D9AB,Anatidae sp.,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",spuh,793,NA,NA
California Quail,calqua,avibase-F93AC929,Callipepla californica,Galliformes,Odontophoridae,New World Quail,species,1094,NA,FALSE
Rock Pigeon (Feral Pigeon),rocpig1,avibase-533DD36C,Columba livia (Feral Pigeon),Columbiformes,Columbidae,Pigeons and Doves,domestic,1868,rocpig,NA
Band-tailed Pigeon,batpig1,avibase-31ACA998,Patagioenas fasciata,Columbiformes,Columbidae,Pigeons and Doves,species,1966,NA,FALSE
Eurasian Collared-Dove,eucdov,avibase-0C1EFC9B,Streptopelia decaocto,Columbiformes,Columbidae,Pigeons and Doves,species,2031,NA,FALSE
White-winged Dove,whwdov,avibase-BFBC73AF,Zenaida asiatica,Columbiformes,Columbidae,Pigeons and Doves,species,2389,NA,FALSE
Mourning Dove,moudov,avibase-00124D98,Zenaida macroura,Columbiformes,Columbidae,Pigeons and Doves,species,2412,NA,FALSE
pigeon/dove sp.,dove1,avibase-D3FDB845,Columbidae sp.,Columbiformes,Columbidae,Pigeons and Doves,spuh,2856,NA,NA
Lesser Nighthawk,lesnig,avibase-9690689D,Chordeiles acutipennis,Caprimulgiformes,Caprimulgidae,Nightjars and Allies,species,3484,NA,FALSE
Vaux's Swift,vauswi,avibase-1775ED98,Chaetura vauxi,Apodiformes,Apodidae,Swifts,species,3897,NA,FALSE
White-throated Swift,whtswi,avibase-B401C2DD,Aeronautes saxatalis,Apodiformes,Apodidae,Swifts,species,4158,NA,FALSE
swift sp.,swift1,avibase-F7D77F4A,Apodidae sp.,Apodiformes,Apodidae,Swifts,spuh,4199,NA,NA
Black-chinned Hummingbird,bkchum,avibase-4BB4F257,Archilochus alexandri,Apodiformes,Trochilidae,Hummingbirds,species,4803,NA,FALSE
Anna's Hummingbird,annhum,avibase-42393721,Calypte anna,Apodiformes,Trochilidae,Hummingbirds,species,4814,NA,FALSE
Costa's Hummingbird,coshum,avibase-145F1116,Calypte costae,Apodiformes,Trochilidae,Hummingbirds,species,4818,NA,FALSE
Rufous Hummingbird,rufhum,avibase-1E1B6D19,Selasphorus rufus,Apodiformes,Trochilidae,Hummingbirds,species,4826,NA,FALSE
Allen's Hummingbird,allhum,avibase-C25794D5,Selasphorus sasin,Apodiformes,Trochilidae,Hummingbirds,species,4831,NA,FALSE
Rufous/Allen's Hummingbird,y00001,avibase-E2AD7435,Selasphorus rufus/sasin,Apodiformes,Trochilidae,Hummingbirds,slash,4838,NA,NA
Selasphorus sp.,selasp,avibase-77567086,Selasphorus sp.,Apodiformes,Trochilidae,Hummingbirds,spuh,4859,NA,NA
hummingbird sp.,hummin,avibase-868D4D43,Trochilidae sp.,Apodiformes,Trochilidae,Hummingbirds,spuh,5214,NA,NA
Virginia Rail,virrai,avibase-87705CC4,Rallus limicola,Gruiformes,Rallidae,"Rails, Gallinules, and Coots",species,5297,NA,FALSE
Sora,sora,avibase-2CC21529,Porzana carolina,Gruiformes,Rallidae,"Rails, Gallinules, and Coots",species,5455,NA,FALSE
Common Gallinule,comgal1,avibase-3EF081A8,Gallinula galeata,Gruiformes,Rallidae,"Rails, Gallinules, and Coots",species,5468,NA,FALSE
Common Gallinule (American),commoo2,avibase-135B7505,Gallinula galeata [galeata Group],Gruiformes,Rallidae,"Rails, Gallinules, and Coots",issf,5469,comgal1,NA
American Coot,y00475,avibase-4FB248BA,Fulica americana,Gruiformes,Rallidae,"Rails, Gallinules, and Coots",species,5500,NA,FALSE
